Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
UNCLASSIFIED,29.02897,37.93375,10.70404,0,16.49432,36.07123,0,8.38132,44.16602,16.31788,0,0,19.78026,7.59889,12.36382,38.07073,39.67393,9.66571,30.33375,0,29.40924,0.30688,0,6.66679,0.30851,6.23125,0,6.91145,0,4.46944,0,11.80155,10.14428,1.78119,6.44874,0,0,52.92779,23.92532,1.32232,0,65.66221,0.73939,88.90495,54.17582,39.38735,56.2612,34.76875,19.2385,0,0,5.8763,7.16698,0,0,36.48608,13.58687,0,50.31597,0,32.12912,0,13.35661,0,0,3.39768,6.78409,0,3.24956,11.01695,0.64588,0.33715,16.25349,13.03422,9.80131,0.63518,17.57783,0,1.62375,24.96699,6.96488,20.40889,6.56156,41.87582,0,12.88415,24.03614,15.93648,9.30421,8.6917,0,37.77497,48.26771,49.40034,39.21921,0,15.36176,4.45077,5.48067,5.73258,14.21167,15.9566,0.96972,0,13.91453,12.21371,21.3732,0,11.95804,40.81255,68.79106,0,3.87239,24.87711,20.06688,0,0,0,0.45712,15.56911,11.92469,22.69821,23.85555,15.53309,0,7.40131,61.25583,47.22228,53.34985,32.30368,19.55989,0,1.49491,26.75314,27.29673,13.39687,31.00874,11.18471,0.27062,49.52973,6.43664,7.23837,0.10103,48.57067,32.95323,0,0
k__Bacteria,70.91514314,61.25915946,85.73131644,99.46932,80.73627285,62.96507858,99.08626,91.6186755,55.83397947,83.68212011,94.69352,100,79.27789402,92.20592679,87.63496627,61.92927195,60.32431641,90.33428765,69.34117089,100,67.67432973,99.69312166,100,93.33321168,99.23269414,93.7687514,99.91956,93.03774958,99.99243,95.53055646,99.99527,87.51225227,89.32925509,98.21544351,93.55126164,100,98.28916,45.63852091,30.83583801,98.67768193,99.9999,34.3272711,77.44172002,11.09505062,45.78590586,58.06377648,43.68110129,65.23125308,80.74617189,100,98.42215,93.76352151,92.82892604,100,100,63.51391909,86.41313328,99.84053,49.68403486,100,67.87087565,100,86.64338523,98.05008,96.47979,96.57227848,92.06503651,99.94213,91.39795399,87.40520064,99.32795728,99.66285149,77.99616545,86.90728612,90.02106599,99.32687218,78.25318061,99.98011,70.12527034,74.57897789,92.84232774,79.47756986,91.03123905,57.29474149,99.16071,87.11584892,74.96822806,83.81175123,90.68626467,91.25724917,98.93876,61.73535076,51.73146223,48.59125035,60.78079438,100,84.63823572,91.24571824,94.51933157,91.57547196,85.54461151,81.99085422,98.92676235,99.98734,86.08547447,87.34802949,78.59089305,97.80379,88.04195534,59.11030751,31.19833042,99.90134,96.12760505,73.76845137,79.55583123,99.94423,99.99331,99.99794,99.54288071,82.91963113,88.07530999,62.52107536,76.08298231,81.59132131,99.22067,92.42447719,38.73667224,51.5528606,45.65374172,67.22306334,80.43784449,88.66262,98.11338304,73.03663777,72.70326516,86.4201893,68.76799977,68.49057854,99.62696671,49.95302663,91.54078244,90.91706158,97.96450919,51.39623029,63.87234479,99.97135,97.55082
k__Eukaryota,0.055889688,0.8070909,3.564641045,0.53068,2.769407432,0.963694287,0.91374,0,0,0,5.30648,0,0.941843899,0.195188115,0.001218143,0,0.001749456,0,0.325083644,0,2.916428959,0,0,0,0.458800195,0,0.08044,0.050798421,0.00757,0,0.00473,0.686201611,0.526464662,0.003368905,0,0,1.71084,1.433687671,45.23884468,0,0.0001,0.0105211,21.81889203,0,0.03827694,2.548870926,0.057695847,0,0.015328533,0,1.57785,0.360183181,0.004093936,0,0,0,0,0.15947,0,0,0,0,0,1.94992,3.52021,0.030043322,1.150871566,0.05787,5.352485885,1.577847408,0.026159939,0,5.750345289,0.058493183,0.177619251,0.037947425,4.16898744,0.01989,28.25098458,0.454032248,0.192796688,0.113536714,2.407198401,0.829437852,0.83929,0,0.995627874,0.251770247,0.009523058,0.05105047,1.06124,0.489679879,0.000827717,2.008411915,0,0,0,4.303508508,0,2.691947566,0.24371606,2.052541426,0.10351635,0.01266,0,0.438264293,0.03590886,2.19621,0,0.077138999,0.010604796,0.09866,0,1.354443253,0.377292337,0.05577,0.00669,0.00206,0,1.511262334,0,14.78071253,0.061471417,2.875591582,0.77933,0.17421518,0.007493122,1.224860063,0.996405152,0.473258214,0.002268411,11.33738,0.391705485,0.210218477,0,0.182940451,0.223255703,20.32471346,0.102412099,0.517244574,2.022577873,1.844564943,1.934463691,0.033099917,3.174430129,0.02865,2.44918
