Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
s__Gemella_SGB47116,0,0.03842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Streptococcus_vestibularis,0,0.03303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Gemella_haemolysans,0,0.02684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Alloprevotella_SGB1463,0,0.02575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08599,0.00148,0,0,0,0
s__Lautropia_mirabilis,0,0.01657,0.02209,0,0,0,0,0,0,0,0,0,0.04597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386,0,0.00487,0,0,0,0,0,0.08626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0.25097,0,0,0.05529,0.13131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Corynebacterium_accolens,0,0.01079,0.28581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00512,0,0,0,0.01763,0.10432,0.03275,0,0,0,0,0,0,0,0.00308,0,0,0,0,0.00605,0.01434,0.02338,0.04207,0,0,0,0,0.00687,0,0,0,0,0,0,0,0,0,0.01394,0,0,0,0,0,0,0,0,0.01053,0,0.01609,0.03623,0,0,0,0,0,0,0,0,0.04514,0.02006,0.14401,0.00917,0.00903,0.01294,0,0,0.06096,0.107,0,0,0,0.01498,0,0.34089,0,0,1.31505,0.02124,0,0,0,0,0.01117,0,0,0.00856
s__Actinomyces_dentalis,0,0.00958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62035,0.05455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27244,0.68533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Prevotella_nanceiensis,0,0.00838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Veillonella_SGB6928,0,0.00798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Rahnella_aquatilis,0,0.00681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB1186_SGB1534,0,0.00584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Rouxiella_badensis,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Paracoccus_haeundaensis,0,0,1.93602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02779,0.02743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03569,0,0,0,0,0,0,0,0,0,0.00697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03446,1.76072
s__Malassezia_sympodialis,0,0,0.05748,0,0,0,0.2477,0,0,0,0,0,0.01992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241,0,0.385,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02676,0,0,0,0,0,0,0.00036,0.04858,0,0,0.72012,0.25406,0,0.04063,0,0,0,0,0,0,0,0,0,0.03694,0.23463,0,0,0,0,0.37315,0.04179,0,0,0.01509,0.00929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19334,0,0,0,0.00156,0,0,0,0,0,0,0.04899,0.17526,0,0,0,0,0.07522,0.0008,0,0,0,0
s__Neisseria_subflava,0,0,0.04038,0,0,0,0,0,0,0,0,0,0.07532,0,0,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08817,0,0,0,0,0.45052,0.04812,0,0,0,0,0,0,0,0,0,0,0.03153,0.01973,0,0,0,0.0078,0.1506,0.0009,0,0,0,0,0,0,0.33871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12663,0.33755,0,0,0,0,0,0,0,0,0.01395,0,0,0,0.03216,0
s__Abiotrophia_sp_HMSC24B09,0,0,0.03476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.00992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31529,0,0,0,0.1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Streptococcus_infantis,0,0,0.02187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0,0.02854,0.07542,0,0,0,0,0,0,0,0,0,0,0,0,0.02886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Corynebacterium_amycolatum,0,0,0.01233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60789,0.11152,0,0,0,0,2.80816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0,0,0,0,0,0,0,0,2.94305,0.21935,0,0,0,0,0,0,0.01687,0,0,0,0,0,0,0
s__Corynebacterium_kefirresidentii,0,0,0.00978,0,0.18921,0,0,0,0,0,0,0.18987,0.20396,0,0.00378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25251,0.04189,0.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04824,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19045,0,0,0.06616,0.00412,0,0.00071,0,0,0,0,0,0,0,0,0,0,0.07902,0.12534,0.01395,0.1338,0,0,0,0,0,0,0.77497,0,0.0091,0,0,0,0,0.02856,0.00164,0,0,0,0,0,0,0,0,0,0,0.09362,0.16257,0,0,0.15463,0.22199,0,0,0,0,1.78743,0.01828,0,0,0,0,0.00872,0,0.02819,0.0669,0,0,0.89655,0.3679,0,0.0127,0,0,0.05625,0.00332,0.21248,0.07316,0.07514,0.04961,0.00377,0,0.02984,0.12339
s__Anaerococcus_octavius,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413,0.00911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02087
s__Kytococcus_schroeteri,0,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04382,0.00542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0.01481,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Corynebacterium_durum,0,0,0.00352,0,0,0,0,0,0,0,0,0,0.00894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392,0.00686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02384,0,0,0,0,0,0,0,0,0,0,0,0.01297,0,0
s__Gardnerella_vaginalis,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03632,0,0,0,0,0,0.0138,0,0.11358,0.00444
s__Pelomicrobium_methylotrophicum,0,0,0,0.08003,0.02476,0.08985,0.00859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04988,0.00436,0,0
s__Staphylococcus_warneri,0,0,0,0.01552,0.42377,0.21511,0,0,0,0,0,0,0.03282,0,0,0,0,0,0.37018,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00807,0,0.01034,0,0,0,0.0323,0.00213,0,0,0,1.17259,0.30715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00828,0.00541,0,0,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Corynebacterium_coyleae,0,0,0,0.01454,0.05413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02499,0,0.01111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Cutibacterium_modestum,0,0,0,0.00414,0.01078,0,0.01163,0.03505,0,0.00867,0,0,0.00149,0,0.03498,0,0.01054,0,0,0,0,0.0225,0.01999,0,0.01772,0,0.01708,0,0.02885,0,0.0301,0,0.01307,0.02407,0,0,0.01553,0,0,0,0.05945,0,0,0,0.03523,0,0,0,0.0122,0,0.00838,0,0.03718,0,0.04947,0,0.00687,0,0,0.02129,0,0.05761,0,0.0279,0.00673,0.00916,0.00684,0.00325,0.00187,0.00173,0.00876,0.01004,0,0.00558,0.01277,0.00818,0,0,0,0.00709,0.0192,0.01093,0.00736,0.00772,0.00341,0.01372,0,0.00749,0.01191,0.00534,0.00442,0,0.00069,0,0.00278,0.00654,0.00417,0.00255,0.00796,0.00607,0.01173,0,0.00064,0.01291,0.00963,0.01634,0.00673,0.00854,0.00791,0.00688,0.00403,0.00279,0.00678,0.00477,0.00046,0.01036,0.01121,0.01556,0.01864,0.00289,0.01218,0,0.00652,0.00172,0.00715,0.00762,0,0,0,0.00246,0.00436,0,0,0.00637,0,0.00657,0.00412,0,0.00775,0.00412,0.0098,0.00528,0.01437,0.0109,0,0.007,0.00527
s__Cutibacterium_porci,0,0,0,0.00156,0.00426,0,0.00249,0.01144,0,0.00776,0,0,0,0,0.01205,0,0.00135,0,0,0,0,0.00735,0.00346,0,0.00509,0,0.00634,0,0.00932,0,0.01207,0,0.0077,0.00862,0,0,0.004,0,0,0,0.02095,0,0,0,0.00891,0,0,0,0.00371,0,0.00409,0,0.01456,0,0.01913,0,0.00787,0,0,0.00797,0,0.02095,0,0.00594,0.00347,0.00296,0.00205,0.00152,0,0.00157,0.00273,0.00362,0,0.00327,0.0029,0.00409,0,0.00073,0,0.00231,0.00378,0.0048,0.00263,0.0016,0.00185,0.006,0.00075,0.00288,0.00439,0.0029,0.0005,0,0.0011,0,0.00101,0.00338,0.00255,0.00136,0.00458,0.00274,0.00294,0,0,0.00498,0.00258,0.00415,0.0044,0.00284,0.00397,0.00253,0.00161,0.00126,0.00358,0.00193,0.00043,0.00312,0.00398,0.00523,0.00824,0.00105,0.00404,0,0.00173,0.00096,0.00293,0.00185,0,0,0,0.00113,0.00147,0,0,0.002,0,0.00162,0.00124,0,0,0.00059,0.00335,0.00208,0.00595,0.00533,0,0.003,0.00137
s__Candidatus_Rickettsiella_isopodorum,0,0,0,0,0.45118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Pseudoxanthomonas_spadix,0,0,0,0,0.28806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Staphylococcus_auricularis,0,0,0,0,0.22539,0,0,0,0,0,0.09588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01419,0,0,0.28026,0.03247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0,0,0,0,0,0,0,0,0,0,0,0,0.00735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03617,0.11325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0.00281,0,0,0.01276,0,0,0.00208,0.00415,0,0,0,0,0,0,0.00743,0.05803,0,0,0.02697,0.01429,0,0,0,0,0,0,0,0
s__Corynebacterium_SGB86804,0,0,0,0,0.19814,0,0,0,0,0,0,0,0.06509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02417,0,0.02682,0.03496,0,0.05178,0.01861,0,0,0,0,0,0.00959,0,0,0,0,0.09082,0.10525,0.03394,0.41982,0,0,0,0,0.00512,0,0,0,0,0,0,0,0,0.10649,0.00181,0,0,0,0,0,0,0.00142,0,0,0,0,0,0,0,0.14234,0.15488,0,0,0,0,0.27329,0.00421,0,0,0,0,0.00443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06112,0.02672,0.06316,0.01953,0,0,0,0
s__Staphylococcus_haemolyticus,0,0,0,0,0.10188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1109,0.07326,0,0,0,0.00463,0,0,0,0.00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01712,0,0,0,0,0,0,0.00774,0,0,0,0,0,0,0.01193,0.04429,0,0,0,0,0,0,0,0,0,1.44256,1.00253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Staphylococcus_aureus,0,0,0,0,0.09342,0,0,0,0,0,0,0,0,0.53871,0,0,0,83.97875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10314,0.1113,12.53524,0.04244,0,0,22.99884,0.06043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07614,0.11207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Corynebacterium_sp_Marseille_P3884,0,0,0,0,0.0794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52803,0.37216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0.07175,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0.00153,0,0.01099,0.25718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1398,0.12424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6246,1.98151,0.00559,0.93619,0,0,0,0,0.00767,0.00282,0.00321,0.00214,0,0,0,0
s__Corynebacterium_wankanglinii,0,0,0,0,0.05631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03024,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778,0.01801,0,0,0,0,0,0,0,0,0,0,0,0,0.96431,0.36658,0,0,0,0,0,0.15872,0,0,0,0,0,0,0.00596,0.00308,0,0,0,0
s__Corynebacterium_tuscaniense,0,0,0,0,0.03553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.02299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
