Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
s__Clostridium_beijerinckii,1.00528,2.73436,0,0,0,0,0.18284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Acinetobacter_lwoffii,0.94281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02854,1.56041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982,0,0,0,0,0,0,0,0,0,0,0,0.00613,0.00756,0,0,0,0,0,0,0,0,0,0.23857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Janibacter_hoylei,0.76669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0.00591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0
s__Janibacter_indicus,0.74039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27799,0.00841,0,0.00031,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515,0.07444,0,0,0,0,0,0,0,0,0.04831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05158,0.00395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54712,2.39927,0,0,0,0,0.01332,0.00618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Paracoccus_sanguinis,0.60877,0,0,0,0.05153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02964,0.00572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44823,0.71177,0,0,0,0,0,0,0,0,0,0,0,0.0177,0,0.01558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Staphylococcus_epidermidis,0.60768,1.08704,31.60976,0.04879,0.90461,0.19935,0.17529,0.08141,8.93591,0.98386,0,2.45558,0.64193,5.06146,0.12392,1.55614,0.05251,0,0.51424,0,4.52061,0.11423,0.07764,0,7.28848,0,0.15197,78.67722,1.18378,0,0,3.16138,0.83139,0.09278,0,0,0.77952,10.86876,8.88205,0,0.39886,0,10.7376,0,0.16854,0,0,0.01893,2.21714,9.88934,0.7627,0.36272,0.00952,2.07328,0.19111,28.77111,31.25089,19.13364,1.93386,7.18437,0,0.06089,1.3087,1.89486,3.26328,0.04264,1.957,0.12231,5.28505,5.31361,2.10651,2.07811,2.7654,0.06018,0.01331,0,37.68106,1.4463,15.80678,0.0054,0.27734,0.16001,2.60569,0.08009,0,0,0.51178,0.00084,1.82888,0.21848,0.14555,3.91027,2.56851,14.73144,0.50573,0.00021,0.02085,1.1402,0.01721,0.48794,0.01485,0.03408,0,0.02209,0,0.29629,0.65718,0.94374,0,0.29403,0.05457,0.03151,0,1.71569,1.39309,1.12636,0.00187,0,0,0.64619,0.14812,1.86252,0.06818,16.30433,10.6903,2.34476,0.53835,0.09605,0.09007,2.22769,0.01754,0,0.0961,0.19616,1.00536,0.79168,1.64223,0.47949,0.03977,0.38311,0.10865,0.52093,0.34315,0.05672,0.77385,0.0189,0.26311
s__Leuconostoc_carnosum,0.5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71688,0.07385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,0,0,0,0,0
s__Paracoccus_marinus,0.55538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396,0,0,0.02951,0,0,0,0.00079,0.01372,0,0.01047,0,0,0,0,0,0.04207,0,0,0.08964,0.02176,0,0,0,0,0.041,0,0,0,0,0,0.00274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952,0.01425,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.00767,0,0,0,0.00322
s__Epilithonimonas_hominis,0.5191,0,0,0,0,0,0.00511,0,0,0,0,0,0.12839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0.48362,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00816,0.03753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01356,0.02833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Acinetobacter_johnsonii,0.48055,0,0,0,0.03997,0,0,0,0,0,0,0.32446,0.73906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0.00597,0,0,0.9252,0.07593,0,0,0,0.13137,18.37001,4.07385,0,0,0,0,0,0.01281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194,0.05405,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0,0,0,0.21848,0,8.29793,0.31532,0,0,0.00187,0.01279,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01964,0,0,0,0,0
s__Actinomyces_oris,0.46506,4.58322,0.41585,0,0,0,0,0,0.01083,0.00927,0,1.29729,0.74663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,5.82817,0.03504,0,0,0,0,0,0,0,0.00239,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17625,0,0,0.00602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03646,0.12582,0.00541,0.00683,0,0,0.25004,0.00155,0,0,0,0,0,0.03353,0,0,0,0,0,0.97273,0.92438,0,0,0,0,0.10518,0,0,0,0.00114,0.00911,0,0,0,0,0,0,0,0,0.05406,0.00098,0,0.22408,0,0.00049,0,0,0.17384,0.93296,0,0.00045,1.68695,0.12654,0.0137,2.87818,0.02193,0,0.00837,0,0,0,0.31786,0,0,0,0.00324,0
s__Corynebacterium_aurimucosum,0.43132,0.03628,0.34165,0.02862,0.68654,0,0,0,0.00509,0,0,0.17016,0.8735,0,0,0,0,0,0,0,0,0,0,0,0,0.00372,0.01542,0,0.00208,0,0,8.82143,1.09341,0.01806,0.29854,0,0.05891,29.10849,4.75641,0,0.00249,0,0,0,0.10455,0,0,0,0,0,0,0.1403,0.00114,0.70123,0,0,0,0,0,0,0,0,0,0.1918,0.00545,0.04574,0.29763,0.11669,0.81388,0.94658,0,0,0,0.06813,0.00096,0.01535,0,0,0.01382,0,0.29494,0.40357,0.19277,1.94803,0,0,0,0,0.04671,0,0,0.05161,0.13284,0.04253,0,0,0.08914,0.41393,0.05774,0.06401,0.01479,0,0,0,0,0.00105,0,0,0,0.11088,0.16034,0,0,1.03631,1.08314,0,0,0,0,0.44232,0.04482,0,0.00573,0,0.0027,0.2105,0.05879,1.01198,0.30831,0,0.01461,4.05161,0.58217,0.02428,0.47988,0,0,0.02682,0.00428,0.20684,0.07614,0.14216,0.1028,0,0,0.04041,0.00099
s__Malassezia_restricta,0.41336,34.41667,2.20983,0.68812,2.3664,10.79532,0.03587,2.35051,11.48644,5.15518,6.66789,2.50182,13.5143,1.11664,1.90432,59.5791,20.60787,0.27545,8.46516,0.87248,6.28403,0.11841,0.26158,0,0.81583,0.77371,0.6881,0.03023,0.44951,0.67565,0.26959,3.88715,8.40086,0.25676,5.49581,0.1205,0.81019,1.05531,11.98103,0,0.00042,0.1009,0,76.63585,36.12171,12.94428,33.27112,9.49856,6.84745,7.64593,4.05482,1.00926,1.35121,0.61521,0.01999,0,0.1557,0,0.24972,2.61857,0,0.12413,0.01387,1.67594,0.91161,4.03536,0.21725,1.52829,1.81152,2.80304,0.31189,0.48038,5.99145,0.72948,0.45195,0.27251,8.90461,5.97247,0.53933,1.99368,2.84934,1.81346,3.60223,18.13633,2.85872,10.09558,1.05981,1.99389,1.7678,4.75241,1.13514,27.13356,1.71056,10.96837,7.3915,0.04387,0.15549,1.42243,2.38726,1.69166,0.80805,1.31418,0.46078,0.69467,1.09656,4.50947,3.6509,0.42871,0.61246,11.86364,42.93404,0.62521,0.19501,11.195,9.06758,0.04942,0.19686,0.17738,0.57152,3.85032,1.39583,14.67487,2.80188,4.24446,3.30346,3.39927,19.38463,20.46171,25.46909,6.11222,6.40633,1.79204,4.1652,0.891,28.85826,1.17857,1.34654,6.74823,2.08286,15.77064,2.96107,3.41983,1.44456,25.7789,5.50675,2.63255,3.72579
s__Paracoccus_sphaerophysae,0.35918,0,0,0,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00466,0,0,0,0
s__Sphingomonas_sp_JUb134,0.35373,0,0,0,0.01723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465,0.0092,0,0,0,0,0,0,0,0,0,0,0,0,0.03181,0.03374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB2722_SGB3663,0.28594,0,0.00301,0.02294,0.12438,0,0,4.12055,9.299,0.76722,0,0,0,9.26384,21.1707,0,0.55487,0,0,4.34862,5.84942,0.1924,0.54175,0,0,0.1393,0.11862,0.0265,0.08669,0.11022,1.34619,1.07277,0.41199,0,0,0,0,0,0,0,0.01832,0,0,0,0.03264,0,0,0.75399,18.58162,0,9.29684,9.05107,4.40719,0,0.00178,0,0.07386,1.79531,0,0.00533,0,0,0,0.00271,5.62299,0.51498,9.70541,0.51494,0.18957,0.30625,1.43115,2.61252,8.96422,9.50621,0.88614,3.21031,0,1.12239,0.00292,0,2.78412,0.85813,0.01473,0.06853,0.27765,0.6801,30.13028,23.88577,17.01839,13.9913,0.46509,0,0,14.525,21.67218,7.74693,30.84168,0.7448,2.89992,3.80566,22.18938,0,0,1.11437,10.9619,12.94916,13.6599,0.48906,5.43249,20.40366,3.70277,5.4648,11.47595,8.48683,8.16733,0.01532,0.00276,0.0214,0.00491,1.75306,4.61894,7.19879,20.31053,3.6871,9.29869,8.18825,42.49454,0.34281,1.01576,24.92027,4.47071,0,0.01949,5.18979,0,29.5616,45.70032,0,0,31.71891,4.23754,16.76435,11.42701,8.33036,35.64135,0.01669,0
s__Dermacoccus_nishinomiyaensis,0.26346,0,0,0,0,0,0.03888,0,0,0,0,0,0,0.91911,0.03583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83192,0.07058,0,0,0,0,0,0,0.23207,0.20785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.04951,0,0,0.0057,0.07867,0.29882,0.01298,0.01071,0,0,0,0,0,0.0055,0,0,0,0,0,0,0.32876,0.02914,0,0,0,0,0,0,0,0,0.02923,0.01557,0.17837,0.22459,0,0,0,0,0.19102,0.1544,0.00974,0.03469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02263,0.01436
s__Clostridium_chromiireducens,0.24926,0.2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Acinetobacter_parvus,0.24255,0,0,0,0,0,0,0.00309,0.05707,0,0,3.75649,2.45494,0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
