Sample,UG010,UG009,UG006,UG005,UG004,UG003,UG002,UG001,SoS100b,SoS100a,SoS099b,SoS099a,SoS098b,SoS098a,SoS091b,SoS091a,SoS087b,SoS087a,SoS085b,SoS085a,SoS082b,SoS082a,SoS081b,SoS081a,SoS080b,SoS080a,SoS079b,SoS079a,SoS078b,SoS078a,SoS077b,SoS077a,SoS075b,SoS075a,SoS073b,SoS073a,SoS070b,SoS070a,SoS069b,SoS069a,SoS065b,SoS065a,SoS063b,SoS063a,SoS060b,SoS060a,SoS055b,SoS055a,SoS042b,SoS042a,SoS039b,SoS039a,SoS036b,SoS036a,SoS035b,SoS035a,SoS033a,SoS031b,SoS027b,SoS025b,SoS025a,SoS024b,SoS024a,SoS023b,SoS023a,SoS018b,SoS018a,SoS017b,SoS017a,SoS014b,SoS014a,SoS011b,SoS011a,SoS008b,SoS008a,SoS006b,SoS006a,SoS005b,SoS005a,SoS004b,SoS004a,SoS002b,SoS002a,P060,P059,P058,P057,P056,P055,P053,P052,P051,P050,P049,P048,P047,P046,P045,P044,P043,P042,P041,P040,P039,P038,P037,P036,P035,P034,P033,P032,P031,P030,P029,P028,P027,P026,P025,P024,P023,P022,P021,P020,P019,P018,P017,P016,P015,P014,P013,P012,P011,P010,P009,P006,P005,P004,P003,P002,P001,X9B1NL,X9B1L,X2B1NL,X2B1L,X17B1NL,X17B1L,X16B1NL
k__Archaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria,5018561,4443708,1461551,3172572,5338987,4620466,10722956,5414250,2768272,1740590,6471395,7406709,712098,4781525,1524832,222391,9557491,4016058,4456399,880318,1123223,8788215,18777894,4221585,8968988,1214038,9505638,3293093,18555664,20681819,9936987,6741739,4027998,6204861,3586264,4880426,4294636,9936678,9079509,8249268,3743592,16262793,4323044,11367353,3145567,6178501,4416839,8229825,12911544,4443343,5054873,12522031,3034894,587931,5738217,723860,1788885,6771878,15383198,19090432,2100719,4798948,2820965,4115704,9102838,8209289,10622257,4075429,4874859,2344491,2043693,13613041,12133801,10806028,1989550,7974343,5928079,3358172,3973632,4138672,5466215,6173087,7895469,1560175,111089,16192461,6103,11922589,11696,63320,4039095,23371,12414798,92167,13864660,652899,9569016,8902,41598825,620712,1326758,138208,4774862,6285,23615,178724,252555466,87404,85486,47713,3036918,26541,93160,3015565,4084491,569234,11902025,104529,17150494,578503,6376238,1235127,9784143,21580,7040467,14229993,448459,58343,629104,43012,4331213,26617,11272152,143289,2434410,151749,11083,4910174,396665,14429672,6574245,1233950,4764591,2901359,1385993,749446,3284047
k__Eukaryota,1054498,356298,464477,3372025,609448,823001,1742828,3682232,182573,2338622,362642,339039,834417,178774,210555,73266,1967679,954229,5278876,728760,1001700,996914,2486338,1103316,846353,1479479,400243,561141,311500,108964,59135,19567,1200641,2673839,21505,109508,9912953,4498799,167102,614338,446397,2598929,146826,238187,53324,589677,153000,1246121,933358,808327,26383,16589,778454,297687,292679,705230,116391,1059881,877358,1436153,146777,1589340,338576,2913310,1819756,486421,1001868,305838,6462525,440636,988534,121918,229357,267906,946773,113681,59871,464144,917554,198613,254019,768231,1263836,196486,45,58773,0,940476,85,312,18193,0,7255,1668,566265,27701,1818385,1348,9791917,190367,1936249,81556,7805744,60212,16675,707,3160,0,314912,3614,269027,90,15300,23301,1202752,80254,95416,2021,228964,1268,149890,28448,376535,0,53867,49231,155384,1430,178197,313,3281942,101513,704337,5876,1145149,10935,4933,781929,154896,1030925,232662,515910,792810,97388,278061,1128410,42318
