Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
k__Bacteria,99.52326,64.76621,94.48201,98.94729,95.1343,87.83006,98.98365,97.64949,88.51356,94.84482,88.06511,97.49818,85.60666,98.69094,98.09463,40.4209,79.38971,99.72455,91.15725,99.12752,90.41355,99.88159,99.73842,100,98.78378,99.22629,99.22671,99.9344,99.54382,99.32435,99.728,95.40721,90.93534,99.73981,94.50419,99.8795,97.4915,97.59105,46.55214,100,99.99957,99.87575,81.54952,23.36415,63.82877,84.02599,66.67953,90.50144,93.13888,92.35407,94.47425,98.69069,98.64558,99.38479,99.98001,100,99.8443,99.86043,99.75028,97.38143,100,99.87587,99.98613,96.38336,95.72383,95.93316,98.74883,98.41351,93.65095,95.79839,99.66335,99.51962,87.794,99.20815,99.39524,99.70073,87.10951,94.00747,74.06951,97.46219,96.9513,98.04135,94.1292,80.73256,96.25615,89.90442,98.0414,97.75206,98.22349,95.20696,98.01905,72.39997,98.28863,86.48097,92.6085,99.95613,99.84451,94.94606,97.61274,95.71472,98.95261,97.17862,99.44443,99.2935,98.90344,95.11389,96.3073,97.90138,99.38754,88.04709,57.04515,99.27784,99.80499,87.43081,90.56715,99.91018,99.79792,99.82049,99.42848,94.82198,98.60417,73.36871,97.13326,92.75365,95.97655,96.4315,80.60806,78.32512,73.5009,93.4055,93.59128,91.2373,95.52226,98.842,71.14174,98.66884,98.4782,71.88693,97.81388,83.67238,95.23015,95.00759,96.80963,74.17687,92.22449,97.33694,93.81115
k__Eukaryota,0.47674,35.23379,5.51799,1.05271,4.8657,12.16994,1.01635,2.35051,11.48644,5.15518,11.93489,2.50182,14.39334,1.30906,1.90537,59.5791,20.61029,0.27545,8.84275,0.87248,9.58645,0.11841,0.26158,0,1.21622,0.77371,0.77329,0.0656,0.45618,0.67565,0.272,4.59279,9.06466,0.26019,5.49581,0.1205,2.5085,2.40895,53.44786,0,0.00043,0.12425,18.45048,76.63585,36.17123,15.97401,33.32047,9.49856,6.86112,7.64593,5.52575,1.30931,1.35442,0.61521,0.01999,0,0.1557,0.13957,0.24972,2.61857,0,0.12413,0.01387,3.61664,4.27617,4.06684,1.25117,1.58649,6.34905,4.20161,0.33665,0.48038,12.206,0.79185,0.60476,0.29927,12.89049,5.99253,25.93049,2.53781,3.0487,1.95865,5.8708,19.26744,3.74385,10.09558,1.9586,2.24794,1.77651,4.79304,1.98095,27.60003,1.71137,13.51903,7.3915,0.04387,0.15549,5.05394,2.38726,4.28528,1.04739,2.82138,0.55557,0.7065,1.09656,4.88611,3.6927,2.09862,0.61246,11.95291,42.95485,0.72216,0.19501,12.56919,9.43285,0.08982,0.20208,0.17951,0.57152,5.17802,1.39583,26.63129,2.86674,7.24635,4.02345,3.5685,19.39194,21.67488,26.4991,6.5945,6.40872,8.7627,4.47774,1.158,28.85826,1.33116,1.5218,28.11307,2.18612,16.32762,4.76985,4.99241,3.19037,25.82313,7.77551,2.66306,6.18885
k__Archaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
