Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
UNCLASSIFIED,14.52938,0,0,14.46879,17.85809,34.93878,20.72387,8.41813,11.55235,12.98777,0,0,0.45906,1.12635,6.76606,0,1.30769,0,9.11646,0,18.44681,3.1644,4.37759,27.29424,10.1785,3.24594,0,0,4.83163,0.6322,14.40927,0,3.00285,11.79848,0,0,4.58723,33.61699,10.37291,0,15.39124,50.71824,8.75236,32.73041,5.65202,21.09835,5.96389,9.2584,11.77166,0,8.98521,9.69717,17.61503,5.814,13.96872,18.84207,7.89793,0,0,8.48323,28.49602,6.92553,20.08956,1.91977,5.96011,6.51168,7.64311,6.25264,11.30753,15.47568,11.41699,10.87806,16.55027,10.41053,16.3003,14.98332,3.99505,22.21073,9.42636,23.19072,10.24499,19.27081,9.91709,15.90466,20.32253,2.64777,12.15205,4.9079,5.78862,6.16796,13.78413,9.63535,19.84313,27.14456,21.9319,5.89703,4.32171,13.77228,15.23985,10.7067,11.51715,9.31283,6.33082,11.67256,14.76994,12.07355,11.64401,17.139,17.48585,12.45287,6.20407,5.08967,5.04187,4.57715,5.7376,17.03076,17.76309,5.3897,4.99903,10.9854,14.64949,0,15.03831,6.67682,7.70364,4.27455,0,0,0,12.50476,2.09255,0,0,26.27877,14.05041,10.31966,7.10357,11.26169,11.3457,2.82944,12.71279,3.79441,7.31759,0.98226,9.27318,5.36929,8.39558
k__Bacteria,85.06314972,64.76621,94.48201,84.63081753,78.14513462,57.14331152,78.470403,89.42922607,78.28816095,82.52659497,88.06511,97.49818,85.21367248,97.5793315,91.45749083,40.4209,78.35153751,99.72455,82.84693127,99.12752,73.73513424,96.72093345,95.37228396,72.70575956,88.72907191,96.00546777,99.22671,99.9344,94.73423336,98.69642291,85.35792543,95.40721,88.20468361,87.97203175,94.50419,99.8795,93.0193407,64.78387186,41.72332922,100,84.60839596,49.22052435,74.41201205,15.71696679,60.22115479,66.29789577,62.70283898,82.12245578,82.17488517,92.35407,85.98553941,89.12048326,81.26912955,93.60655775,86.01408095,81.15793354,91.95866924,99.86043,99.75028,89.12034132,71.50398236,92.95893202,79.89935147,94.53302565,90.01858773,89.68630148,91.20135161,92.26006765,83.06133784,80.97293306,88.28479173,88.69381853,73.26385662,88.88005862,83.19352227,84.76224579,83.6294422,73.12772687,67.08745472,74.8600056,87.01865066,79.14799083,84.79432207,67.89232343,76.69446616,87.52395879,86.12736245,92.95448799,92.53770856,89.33463515,84.50797629,65.42398072,78.78508741,63.00609275,72.29769822,94.06168643,95.52951491,81.8698205,82.7367096,85.46683116,87.55608459,88.12853695,93.14878351,87.70340249,84.29546088,83.63027142,85.09326366,81.12206434,82.008788,77.08269743,53.50602637,94.22492404,94.77295462,83.428975,85.37077123,82.89471716,82.07072332,94.44046181,94.45802037,84.4054075,84.15916231,73.36871,82.52606167,86.56065622,88.5828637,92.30948899,80.60806,78.32512,73.5009,81.72536778,91.63283518,91.2373,95.52226,72.86754134,61.146034,88.48655049,91.48273429,63.79125032,86.71620891,81.30491907,83.12373848,91.40260776,89.72549964,73.44826249,83.67234825,92.11064076,85.93516243
k__Eukaryota,0.407472645,35.23379,5.51799,0.900395634,3.996779096,7.917911847,0.805722906,2.152640942,10.15948589,4.48563719,11.93489,2.50182,14.32726567,1.294315362,1.776451568,59.5791,20.34077099,0.27545,8.036603797,0.87248,7.818055785,0.11466303,0.250129108,0,1.092427035,0.748595866,0.77329,0.0656,0.434139081,0.671378551,0.232806792,4.59279,8.792461406,0.229491543,5.49581,0.1205,2.393429336,1.599133405,47.90376251,0,0.000363818,0.061232583,16.83562748,51.5526184,34.12682464,12.60375808,31.33327522,8.619145436,6.053452094,7.64593,5.02924971,1.182343947,1.115838484,0.579441687,0.017197653,0,0.143402926,0.13957,0.24972,2.396430738,0,0.115533334,0.011083577,3.547208998,4.021305711,3.802020473,1.155541743,1.487292494,5.631129071,3.551382077,0.298214691,0.428123987,10.18587414,0.709414241,0.506182334,0.254429404,12.37550858,4.661545482,23.48618985,1.949273568,2.736361042,1.581202342,5.288587452,16.2030198,2.983005004,9.828272379,1.720589997,2.137613384,1.673674644,4.497407329,1.707893268,24.94067098,1.371780592,9.849349031,5.770403758,0.041282973,0.148770165,4.357897111,2.023445273,3.826467885,0.926760471,2.558629579,0.520397871,0.624033334,0.934598742,4.296183297,3.262721463,1.738937558,0.505366189,10.46442926,40.28989909,0.685404428,0.185177854,11.99387994,8.89163101,0.074522971,0.166184343,0.169834944,0.542949543,4.609193862,1.191348028,26.63129,2.435630824,6.762524291,3.713497963,3.415962745,19.39194,21.67488,26.4991,5.769873699,6.274614296,8.7627,4.47774,0.853691881,24.80355621,1.193788805,1.413697905,24.94706459,1.938089345,15.86563957,4.163468859,4.802977246,2.956911851,25.56948049,7.054473064,2.520072677,5.669260317
