Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
UNCLASSIFIED,31.52564,49.36321,18.98589,0,18.32826,50.76554,18.38412,9.12072,49.67344,17.15465,0,0,31.24166,18.21632,20.27043,45.79819,41.11782,10.87438,39.048,20.48964,40.56417,6.45495,7.88757,8.50879,6.55611,3.24237,5.22342,15.34542,3.29559,11.77294,0,28.43011,24.96652,6.19445,3.76417,0,0.33966,75.7946,42.90226,0,0,74.32608,36.32824,89.32063,59.94291,62.37434,83.11001,29.01527,32.02334,37.01508,15.12449,10.14107,8.24621,12.70634,1.76444,32.46353,21.60567,18.92788,48.53769,9.70335,31.11272,0,11.75635,7.47367,5.06625,9.7293,10.30534,4.82028,2.50316,14.38981,4.45963,6.42092,28.38423,13.8917,11.70583,4.08775,30.20124,30.51487,15.8763,37.12813,11.09759,19.59249,9.91897,44.50019,20.50331,14.19401,25.58164,17.88069,16.07161,14.43671,0,42.69313,46.99899,47.31,46.87302,0,16.09378,1.46608,14.37661,10.50397,19.23668,59.00364,17.37115,4.77865,15.73501,16.7022,20.67018,15.92473,11.31405,47.13821,70.45766,5.10544,6.78786,32.32804,28.2181,4.01181,0,0,0.45452,18.14743,12.64807,40.25553,31.16385,20.90266,20.59201,13.63577,65.4555,50.59969,55.85262,37.63418,17.18486,0,16.22285,26.24273,61.72672,24.34274,37.08667,23.00531,11.65824,53.39635,11.66334,18.46641,13.26167,51.97217,49.333,7.8583,13.95086
k__Bacteria,68.37881944,49.86672189,77.68771937,99.53415,79.06580278,48.34348652,80.96801688,90.87928165,50.32655945,82.84535409,92.67113,100,67.86669018,81.54348388,79.72800035,54.20180877,58.88018264,89.1256195,60.63343228,79.51036077,56.47394491,93.54505244,92.11242606,91.49121392,93.01698633,96.75763491,94.6712277,84.61101796,96.69203661,88.22706008,100,70.8616446,74.78175464,93.80064203,96.23582699,100,97.8299255,23.37827837,16.41612026,100,100,25.65652494,48.13220225,10.67937343,40.0189223,34.8011995,16.83539517,70.98472606,67.9619024,62.98491548,83.28929008,89.48766196,91.75379459,87.29366468,98.23556171,67.53646852,78.39432661,80.90058586,51.46230758,90.2966471,68.8872781,100,88.24365118,90.40186004,91.22779488,90.23913559,88.51249209,95.12118567,91.21099089,83.78923699,95.51357285,93.57908149,65.89961168,86.03006159,88.10891275,95.91176327,65.74652939,69.46858313,55.51854609,62.34800154,88.70179259,80.27017584,87.72499025,54.72309099,78.74647288,85.80599059,74.09779868,82.09326615,83.91933056,85.56329364,98.96742,56.81727779,53.00017507,50.30863624,53.12698322,100,83.9062213,94.09527093,85.62339455,86.84744897,80.74519485,38.89990136,82.51967941,95.20826195,84.26499452,83.25991266,79.32981572,82.34979239,88.68594621,52.7814969,29.53378806,94.79288017,93.21214099,66.13850524,71.3347609,95.93948194,99.99293,99.99771,99.54548454,80.28722693,87.35192846,44.54374026,68.77036619,75.79801637,78.81911716,86.17831643,34.53630648,47.96852132,43.00941047,61.72220145,82.81045041,86.40268,83.36135028,73.41771622,38.27327757,75.53799515,62.90001584,56.50855312,88.23351057,46.07283397,86.26234679,79.81823591,84.84174805,47.9837181,47.38538766,92.1113138,83.54058267
k__Eukaryota,0.095542277,0.770063985,3.326390753,0.46585,2.605932734,0.890976381,0.647858658,0,0,0,7.32887,0,0.891651296,0.240198676,0.001570673,0,0.002001994,0,0.318565617,0,2.961883466,0,0,0,0.426907775,0,0.105353648,0.043563247,0.012368493,0,0,0.708241277,0.251722308,0.00490603,0,0,1.830411581,0.827125268,40.68162121,0,0,0.017396649,15.53955786,0,0.038166394,2.824456399,0.054591816,0,0.014757733,0,1.58622146,0.37127015,0,0,0,0,0,0.171532388,0,0,0,0,0,2.12446929,3.705957367,0.031567665,1.182166633,0.058535529,6.28584527,1.820954455,0.026799074,0,5.716155705,0.078238001,0.185258831,0.000489152,4.052229782,0.016544409,28.60515367,0.523867272,0.200617178,0.13733603,2.356042384,0.776714224,0.750218224,0,0.320557067,0.026048247,0.009055873,0,1.03258,0.489595542,0.000832116,2.381361323,0,0,0,4.438647574,0,2.648581319,0.018123289,2.096459609,0.109169235,0.013083413,0,0.037892171,0,1.725476749,0,0.080291771,0.008555463,0.101679521,0,1.533453349,0.447136618,0.048704406,0.00707,0.00229,0,1.565340311,0,15.20073241,0.065786711,3.299324084,0.588873779,0.185916284,0.008193956,1.431783865,1.137964819,0.64362153,0.004687337,13.59732,0.415802766,0.339548946,0,0.119266107,0.013318753,20.48613957,0.108253998,0.530820282,2.074312602,1.715352554,1.896585711,0.044113563,3.281610255,0.030388333,2.508556124
