Sample,X16B1NL,X17B1L,X17B1NL,X2B1L,X2B1NL,X9B1L,X9B1NL,P001,P002,P003,P004,P005,P006,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P055,P056,P057,P058,P059,P060,SoS002a,SoS002b,SoS004a,SoS004b,SoS005a,SoS005b,SoS006a,SoS006b,SoS008a,SoS008b,SoS011a,SoS011b,SoS014a,SoS014b,SoS017a,SoS017b,SoS018a,SoS018b,SoS023a,SoS023b,SoS024a,SoS024b,SoS025a,SoS025b,SoS027b,SoS031b,SoS033a,SoS035a,SoS035b,SoS036a,SoS036b,SoS039a,SoS039b,SoS042a,SoS042b,SoS055a,SoS055b,SoS060a,SoS060b,SoS063a,SoS063b,SoS065a,SoS065b,SoS069a,SoS069b,SoS070a,SoS070b,SoS073a,SoS073b,SoS075a,SoS075b,SoS077a,SoS077b,SoS078a,SoS078b,SoS079a,SoS079b,SoS080a,SoS080b,SoS081a,SoS081b,SoS082a,SoS082b,SoS085a,SoS085b,SoS087a,SoS087b,SoS091a,SoS091b,SoS098a,SoS098b,SoS099a,SoS099b,SoS100a,SoS100b,UG001,UG002,UG003,UG004,UG005,UG006,UG009,UG010
g__Clostridium,1.25454,2.95206,0,0,0,0,0.19006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Corynebacterium,0.99251,0.91773,1.38944,0.04315,1.45656,0,0.00691,0,0.07344,0.00182,14.35908,1.92132,2.43083,0,0.00445,0,0,0,0.05806,0.10086,0.06857,2.46933,0,0,0,0.06214,0.68278,0.64432,0.02673,0,0,23.13252,6.78576,0.01885,0.29854,0,0.26253,41.66219,5.88687,0,0.00329,40.96292,1.52429,0,0.20577,0,0.11561,0.04824,0.00409,0,0.07301,0.17465,0.004,0.70123,0,0,0,0,0,0,0,0.02636,3.34041,13.43637,0.00545,0.1093,1.13845,0.40583,1.31916,1.53302,0,0,0,0.28899,0.00487,0.08605,0,0,0.17627,0.26866,0.83085,1.12553,0.64511,7.77343,0,0,0,0,0.21642,0.0448,0.82584,0.05161,0.14785,0.04253,0,0.01473,0.14462,1.22867,0.11117,0.07307,0.01479,0.00101,0,0.01788,0.00494,0.09115,0.01458,0.01053,0,0.29537,0.38471,0.00714,0,2.07131,2.49868,0,0,0.00304,0.02576,4.87352,0.22527,0.33568,0.15414,0.00903,0.01564,0.3038,0.17814,2.8942,1.74716,0.033,0.05592,22.22082,7.1268,0.03548,2.88448,0,0,1.57177,0.0399,1.0074,0.85072,0.59773,0.34633,0.0242,0.01297,0.07207,0.13294
g__Leuconostoc,0.64823,0,0,0,0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78935,0.08335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0.069,0,0,0,0,0,0,0,0.00566,0,0,0,0.53908,0,0.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09963,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,0,0,0,0,0
g__Epilithonimonas,0.5191,0,0,0,0,0,0.00511,0,0,0,0,0.17461,0.17999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0.48362,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00816,0.03753,0,0,0,0,0,0,0,0,0,0.0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01356,0.02833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Streptococcus,0.50518,3.38059,1.54962,0,0,0,0.01944,0,0,0.03881,0,3.13091,1.14655,0,0,0,0,1.91131,0.20629,0,0,0,0.02896,0,0,0,0.04941,0,0.01281,0,0,0.4652,0.05855,0,0,0,0,0,0.22775,9.21833,0.03033,0.79529,0,0,0.04879,0,0,0,0,0,0,0.07051,0,0,0,0,0.05603,1.3426,0,0,0,0,0,1.82694,0,0,0.04949,0.00902,0.41233,0.1454,0,0,0,0.11772,0.001,0.00138,0,0,0.07694,0.18022,0.40821,0.92809,0,0.00424,0,0.08977,0.10486,0,0.0091,0,0,0,0.01052,0.28366,0.21399,0,0,0.01428,0.00116,0.44109,0.62174,0,0,0,0.01389,0.17992,0.05273,0,0.00232,0.00155,0.02621,0,0,0,0.04563,0,0,0.00203,0,0.05871,0.00644,0,0.15881,0.01771,0.00516,0,0,0.01904,1.9284,0.01734,0.00412,0.45949,2.77722,0,1.57471,0,0,0,0.02272,0.01654,0.01001,0.57153,0.23716,0.01448,0.12577,0.0985,0.02173
g__Malassezia,0.47674,35.23379,5.51799,1.05271,4.8657,12.16994,1.01635,2.35051,11.48644,5.15518,11.93489,2.50182,14.39334,1.30906,1.90537,59.5791,20.61029,0.27545,8.84275,0.87248,9.58645,0.11841,0.26158,0,1.21622,0.77371,0.77329,0.0656,0.45618,0.67565,0.272,4.58385,9.06466,0.26019,5.49581,0.1205,2.5085,2.40895,53.44786,0,0.00043,0.12425,18.45048,76.63585,36.17123,15.97401,33.32047,9.49856,6.86112,7.64593,5.52575,1.30931,1.35442,0.61521,0.01999,0,0.1557,0.13957,0.24972,2.61857,0,0.12413,0.01387,3.61664,4.27617,4.06684,1.25117,1.58649,6.34905,4.20161,0.33665,0.48038,12.206,0.79185,0.60476,0.29927,12.89049,5.99253,25.93049,2.53781,3.0487,1.95817,5.8708,19.26744,3.74385,10.09558,1.9586,2.24794,1.77651,4.79304,1.98095,27.60003,1.71137,13.51903,7.3915,0.04387,0.15549,5.05394,2.38726,4.28528,1.04739,2.82138,0.55557,0.7065,1.09656,4.88611,3.6927,2.09862,0.61246,11.95291,42.95485,0.72216,0.19501,12.56919,9.43285,0.08982,0.20208,0.17951,0.57152,5.17802,1.39583,26.63129,2.86674,7.24635,4.02345,3.5685,19.39194,21.67488,26.4991,6.5945,6.40872,8.7627,4.47774,1.158,28.85826,1.33116,1.5218,28.11307,2.18612,16.32762,4.76985,4.99241,3.19037,25.82313,7.77551,2.66306,6.18885
g__Actinomyces,0.46692,4.59279,0.41585,0,0,0,0,0,0.01083,0.00927,0,1.29729,1.09071,0,0,2.09387,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0,0,6.51956,0.10187,0,0,0,0,0,0,0,0.00328,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21881,0,0,0.00811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05026,0.2157,0.00541,0.00683,0,0,0.25004,0.00155,0.00303,0,0,0,0,0.03353,0.0091,0,0,0,0,1.01195,0.92438,0,0,0,0,0.29102,0,0,0,0.00114,0.00911,0,0,0,0,0,0,0,0,0.06263,0.00098,0,0.47061,0,0.00049,0,0,0.17384,1.1444,0,0.00045,3.76671,5.12676,0.0137,2.95936,0.02193,0,0.00837,0,0,0.00112,0.31786,0,0,0.09845,0.00324,0
g__Sphingomonas,0.43601,0,0,0,0.01723,0,0,0.15433,1.64312,0.02064,0,0,0,0,0,0,0,0.04982,0.99904,0,0,0,0.10135,0,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01257,0,0.00189,0,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465,0.0092,0,0,0,0,0,0,0,0,0,0,0,0,0.03181,0.03374,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB2722,0.28594,0,0.00301,0.02294,0.12438,0,0,4.12055,9.299,0.76722,0,0,0,9.26384,21.1707,0,0.55487,0,0,4.34862,5.84942,0.1924,0.54175,0,0,0.1393,0.11862,0.0265,0.08669,0.11022,1.34619,1.07277,0.41199,0,0,0,0,0,0,0,0.01832,0,0,0,0.03264,0,0,0.75399,18.58162,0,9.29684,9.05107,4.40719,0,0.00178,0,0.07386,1.79531,0,0.00533,0,0,0,0.00271,5.62299,0.51498,9.70541,0.51494,0.18957,0.30625,1.43115,2.61252,8.96422,9.50621,0.88614,3.21031,0,1.12239,0.00292,0,2.78412,0.85813,0.01473,0.06853,0.27765,0.6801,30.13028,23.88577,17.01839,13.9913,0.46509,0,0,14.525,21.67218,7.74693,30.84168,0.7448,2.89992,3.80566,22.18938,0,0,1.11437,10.9619,12.94916,13.6599,0.48906,5.43249,20.40366,3.70277,5.4648,11.47595,8.48683,8.16733,0.01532,0.00276,0.0214,0.00491,1.75306,4.61894,7.19879,20.31053,3.6871,9.29869,8.18825,42.49454,0.34281,1.01576,24.92027,4.47071,0,0.01949,5.18979,0,29.5616,45.70032,0,0,31.71891,4.23754,16.76435,11.42701,8.33036,35.64135,0.01669,0
g__Dermacoccus,0.26346,0,0,0,0,0,0.03888,0,0,0,0,0,0,0.91911,0.03583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83192,0.07058,0,0,0,0,0,0,0.23207,0.20785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.04951,0,0,0.0057,0.07867,0.29882,0.01298,0.01071,0,0,0,0,0,0.0055,0,0,0,0,0,0,0.37214,0.02914,0,0,0,0,0,0,0,0,0.02923,0.01557,0.24285,0.2958,0,0,0,0,0.19102,0.1544,0.00974,0.03469,0,0,0,0,0,0.00677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02263,0.01436
g__Brachybacterium,0.22912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31616,0.00235,0,0,0,0.07012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076,0,0,0,0,0,0,0,0,0.01097,0,0.00166,0.0039,0.006,0.0804,0,0,0,0,0,0,0,1.09664,0.26133,1.9756,0.29546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03559,0.01586,0,0.01307,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0.00747
g__Microbacterium,0.22388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03964,0,0,0,0,0,0,0,0,0,0,0,0.18636,0.12004,0,0,0,0,0,0,0,0.00138,0.2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05043,0,0,0,0,0,0.00484,0.00539,0.02344,0,0,0,0.04171,0,0.00716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14466,0.04209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Neisseria,0.19651,1.48635,0.47573,0,0,0,0,0.01731,0,0,0,0,0.12697,0,0,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0.00117,0,0,0,0,0,0,0,0,0,0,0,0.00326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46312,0,0,0.00079,0,0.93537,0.04812,0,0,0,0,0,0,0,0,0,0.19126,0.03153,0.02896,0,0,0,0.0078,0.1506,0.0009,0,0,0,0,0,0.06802,0.33871,0,0,0,0,0.00415,0,0,0,0,0.04632,0.04152,0.02591,0,0,0,0.00654,0,0,0,0,0,0,0,0,0,0,0,0.00836,0,0,0,0,0.02172,1.07329,0,0,0.48022,0.61093,0,0.1637,0,0,0,0,0,0,0.09574,0.00735,0,0.0121,0.03216,0
